site_id,site_name,latitude,longitude,country,data_availability
BR-Ma2,Manaus - ZF2 K34,-2.6091,-60.2093,Brazil,accessible data
BR-Ma3,"ZF3, Colosso farm",-2.3907,-59.8835,Brazil,accessible data
BR-Npw,Northern Pantanal Wetland,-16.498,-56.412,Brazil,accessible data
BR-PRS,Paraíso do Sul,-29.744,-53.1503,Brazil,no public data
BR-SGC,"São Gabriel da Cachoeira (Balaio Indigenous Reserve, Pico da Neblina National Park)",0.2101,-66.7529,Brazil,no public data
BR-SM1,Cachoeira do Sul Rice Paddy,-30.2771,-53.1479,Brazil,accessible data
BR-SM2,Pedras Altas Grassland,-31.7259,-53.5339,Brazil,no public data
BR-SM3,Santa Maria Grassland,-29.7243,-53.76,Brazil,no public data
BR-SP1,Southern Pantanal Wetland,-19.565,-57.018,Brazil,no public data
BR-Sa1,Santarem-Km67-Primary Forest,-2.8567,-54.9589,Brazil,accessible data
BR-Sa2,BR-Sa2,-3.0119,-54.5365,Brazil,no public data
BR-Sa3,Santarem-Km83-Logged Forest,-3.018,-54.9714,Brazil,accessible data
BR-XPW,XomanoFlux,-16.373,-56.461,Brazil,accessible data
BW-GhG,Ghanzi Grass Site,-21.51,21.74,Botswana,no public data
BW-GhM,Ghanzi Mixed Site,-21.2,21.75,Botswana,no public data
BW-Ghz,Ghanzi/Okwa River Crossing,-22.40916667,21.71305556,Botswana,accessible data
BW-Gum,Guma,-18.964722,22.37111,Botswana,accessible data
BW-Kvb,Kavimba,-18.1076,24.637,Botswana,no public data
BW-Ma1,BW-Ma1,-19.9165,23.56033333,Botswana,accessible data
BW-Mkt,Maun - Kalahari Transect,-19.923,23.594,Botswana,accessible data
BW-Nxr,Nxaraga,-19.548056,23.179167,Botswana,accessible data
CA-AF1,Acadia Research Forest,46.0092,-66.3627,Canada,accessible data
CA-ARB,Attawapiskat River Bog,52.695,-83.9452,Canada,accessible data
CA-ARF,Attawapiskat River Fen,52.7008,-83.955,Canada,accessible data
CA-BCW,Big Creek Watershed,42.6206,-80.5516,Canada,no public data
CA-BOU,Bouleau Peatland,50.5244,-63.2064,Canada,accessible data
CA-BSM,Black Spruce Moss Forest,50.9021,-63.4052,Canada,no public data
CA-CBO,"Ontario - Mixed Deciduous, Borden Forest Site",44.3184,-79.9341,Canada,accessible data
CA-CF1,Churchill Fen Site 1,58.6658,-93.83,Canada,accessible data
CA-CF2,Churchill Fen Site 2,58.6658,-93.83,Canada,accessible data
CA-CF3,Churchill Fen Site 3,58.6658,-93.8304,Canada,accessible data
CA-CHA,New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3),45.8847,-67.3569,Canada,accessible data
CA-CQ1,Québec. Carbonique1 - Lac Saint-Pierre Disturbed Marsh,46.1645,-72.685,Canada,no public data
CA-CRB,Carberry,49.9061,-99.348,Canada,no public data
CA-Ca1,British Columbia - 1949 Douglas-fir stand,49.8673,-125.3336,Canada,accessible data
CA-Ca2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),49.8705,-125.2909,Canada,accessible data
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,49.5346,-124.9004,Canada,accessible data
CA-DB2,Delta Burns Bog 2,49.119,-122.9951,Canada,accessible data
CA-DBB,Delta Burns Bog,49.1293,-122.9849,Canada,accessible data
CA-DL1,Daring Lake - Mixed Tundra,64.8689,-111.5748,Canada,no public data
CA-DL2,Daring Lake - Fen,64.8648,-111.5677,Canada,no public data
CA-DSM,Delta Salt Marsh,49.0887,-122.8954,Canada,accessible data
CA-Da1,,64.8689,-111.5748,Canada,no public data
CA-Da2,,64.8648,-111.5748,Canada,no public data
CA-EM1,Newdale Manitoba,50.3623,-100.2024,Canada,accessible data
CA-EM2,Shoal Lake Manitoba,50.3706,-100.5339,Canada,accessible data
CA-EM3,Oak Hammock Marsh Manitoba,50.1738,-97.1231,Canada,no public data
CA-ER1,Elora Research Station,43.6405,-80.4123,Canada,accessible data
CA-GL3,Long Point,42.5487,-80.0165,Canada,no public data
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",48.2167,-82.1556,Canada,accessible data
CA-HPC,Havikpak Creek,68.3203,-133.5188,Canada,accessible data
CA-IQT,Iqaluit Tundra,63.7507,-68.4285,Canada,no public data
CA-KLP,Kinoje Lake Peatland,51.5902,-81.7684,Canada,accessible data
CA-KT1,Kenton - Field 1,50.022,-100.5713,Canada,no public data
CA-KT2,Kenton - Field 2,50.0241,-100.5721,Canada,no public data
CA-LET,Alberta - Mixed Grass Prairie,49.7093,-112.9402,Canada,no public data
CA-LP1,British Columbia - Mountain pine beetle-attacked lodgepole pine stand,55.1119,-122.8414,Canada,accessible data
CA-LU1,Steen River,59.5951,-117.2862,Canada,accessible data
CA-LU2,Lutose,59.4405,-117.2422,Canada,accessible data
CA-LUM,Luther Marsh Wildlife Management Area,43.9201,-80.4052,Canada,no public data
CA-MA1,Manitoba Agricultural Site 1,50.1645,-97.8762,Canada,accessible data
CA-MA2,Manitoba Agricultural Site 2,50.171,-97.8762,Canada,accessible data
CA-MA3,Manitoba Agricultural Site 3,50.1774,-97.8686,Canada,accessible data
CA-MR3,Mattheis Ranch - E3 South,50.8671,-111.9045,Canada,no public data
CA-MR5,Mattheis Ranch - E5 North,50.9056,-111.8823,Canada,no public data
CA-MTK,Mittimatalik (Pond Inlet) Tundra,72.6695,-77.9981,Canada,accessible data
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),55.8796,-98.4808,Canada,accessible data
CA-Mer,"Ontario - Eastern Peatland, Mer Bleue",45.4094,-75.5186,Canada,accessible data
CA-NS1,UCI-1850 burn site,55.8792,-98.4839,Canada,accessible data
CA-NS2,UCI-1930 burn site,55.9058,-98.5247,Canada,accessible data
CA-NS3,UCI-1964 burn site,55.9117,-98.3822,Canada,accessible data
CA-NS4,UCI-1964 burn site wet,55.9144,-98.3806,Canada,accessible data
CA-NS5,UCI-1981 burn site,55.8631,-98.485,Canada,accessible data
CA-NS6,UCI-1989 burn site,55.9167,-98.9644,Canada,accessible data
CA-NS7,UCI-1998 burn site,56.6358,-99.9483,Canada,accessible data
CA-NS8,UCI-2003 burn site,55.8981,-98.2161,Canada,no public data
CA-Na1,New Brunswick - 1967 Balsam Fir - Nashwaak Lake Site 01 (Mature balsam fir forest),46.4722,-67.1,Canada,accessible data
CA-OAS,"Saskatchewan - Western Boreal, Mature Aspen",53.6289,-106.1978,Canada,accessible data
CA-OBS,"Saskatchewan - Western Boreal, Mature Black Spruce",53.9872,-105.1178,Canada,accessible data
CA-OJP,"Saskatchewan - Western Boreal, Mature Jack Pine",53.9163,-104.692,Canada,accessible data
CA-PB1,Polar Bear 1 - Peat Plateau,54.9417,-83.4579,Canada,accessible data
CA-PB2,Polar Bear 2 - Fen,54.9389,-83.4736,Canada,accessible data
CA-QCU,"Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover",49.2671,-74.0365,Canada,accessible data
CA-Qc2,Quebec - 1975 Harvested Black Spruce (HBS75),49.7598,-74.5711,Canada,accessible data
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",49.6925,-74.3421,Canada,accessible data
CA-RBM,Richmond Brackish Marsh,49.1313,-123.1964,Canada,accessible data
CA-RPN,Robinsons_Natural_Bog_NL,48.2604,-58.6632,Canada,no public data
CA-RPP,Robinsons_Peatland_Pasture_NL,48.2632,-58.667,Canada,no public data
CA-RSB,Resolute Bay Polar Desert,74.7279,-94.8985,Canada,accessible data
CA-SCB,Scotty Creek Bog,61.3089,-121.2984,Canada,accessible data
CA-SCC,Scotty Creek Landscape,61.3079,-121.2992,Canada,accessible data
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",54.485,-105.8176,Canada,accessible data
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",54.2539,-105.8775,Canada,accessible data
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",54.0916,-106.0053,Canada,accessible data
CA-SJ1,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",53.908,-104.656,Canada,accessible data
CA-SJ2,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",53.945,-104.649,Canada,accessible data
CA-SJ3,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",53.8758,-104.6453,Canada,no public data
CA-SMC,Smith Creek,63.1534,-123.2522,Canada,accessible data
CA-ST1,South Tobacco Creek - Field 1,49.3373,-98.3652,Canada,no public data
CA-ST2,South Tobacco Creek - Field 2,49.3383,-98.3676,Canada,no public data
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,42.6609,-80.5595,Canada,accessible data
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,42.7744,-80.4588,Canada,accessible data
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,42.7068,-80.3483,Canada,accessible data
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,42.7102,-80.3574,Canada,accessible data
CA-TPA,Ontario Turkey Point Observatory Agricultural Site,42.6947,-80.3487,Canada,accessible data
CA-TPD,Ontario - Turkey Point Mature Deciduous,42.6353,-80.5577,Canada,accessible data
CA-TVC,Trail Valley Creek,68.7462,-133.5017,Canada,accessible data
CA-WP1,"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen",54.9538,-112.467,Canada,no public data
CA-WP2,Alberta - Western Peatland - Poor Fen (Sphagnum moss),55.5375,-112.3343,Canada,no public data
CA-WP3,Alberta - Western Peatland - Rich Fen (Carex),54.47,-113.32,Canada,no public data
CA-WRF,White River Fen,48.3513,-85.3571,Canada,no public data
CBF,Boreal Forest _ Chinese Boreal Forest Ecosystem Research Station,51.781111,123.017778,China,no public data
CBS,Changbaishan Site,41.4025,128.095833,China,no public data
CD-Ygb,Yangambi,0.814444,24.502472,Congo - Kinshasa,accessible data
CG-Hin,Hinda,-4.68111111,12.0036111,Congo - Brazzaville,accessible data
CG-Kis,Kissoko,-4.791388889,11.98222222,Congo - Brazzaville,accessible data
CG-Tch,Tchizalamou,-4.289166667,11.65641667,Congo - Brazzaville,accessible data
CH-Aws,Alp Weissenstein,46.58311,9.790639,Switzerland,accessible data
CH-BaA,Basel Aeschenplatz,47.55123,7.5956,Switzerland,accessible data
CH-BaK,Basel Klingelbergstrasse,47.56173,7.58049,Switzerland,accessible data
CH-Cha,Chamau,47.21022,8.410444,Switzerland,accessible data
CH-Crs,Cressier,47.0436,7.0475,Switzerland,accessible data
CH-DAS,Davos sub-canopy,46.815333,9.855972,Switzerland,no public data
CH-Dav,Davos,46.81533,9.85591,Switzerland,accessible data
CH-Dsc,,46.7896991,9.8644382,Switzerland,no public data
CH-For,Forel,46.527206,6.7595406,Switzerland,accessible data
CH-Frk,Furka,46.577637,8.421592,Switzerland,accessible data
CH-Fru,Früebüel,47.115833,8.537778,Switzerland,accessible data
CH-HON,Hoenggerberg,47.41887,8.491318,Switzerland,no public data
CH-LAS,Lägeren sub-canopy,47.478333,8.364389,Switzerland,no public data
CH-Lae,Laegern,47.478333,8.364389,Switzerland,accessible data
CH-Oe1,Oensingen grassland,47.28583333,7.731944444,Switzerland,accessible data
CH-Oe2,Oensingen crop,47.286415,7.73375,Switzerland,accessible data
CH-Oe3,Oensingen extensive grassland,47.1712,7.436,Switzerland,accessible data
CH-Psx,Posieux,46.76778,7.107754,Switzerland,no public data
CH-Rh1,Ruethi peatland reference,47.3,9.5,Switzerland,accessible data
CH-Rh2,Ruethi peatland covered,47.3,9.5,Switzerland,accessible data
CH-Rtb,Rietholzbach,47.3804,8.9934,Switzerland,accessible data
CH-See,,47.0567,8.4644,Switzerland,no public data
CH-TAN,T?nikon,47.480611,8.911861,Switzerland,no public data
CH-Tnk,Tanikon,47.48058,8.911775,Switzerland,accessible data
CH-Wdg,Waldegg,47.490902,8.919831,Switzerland,no public data
CL-ACF,Alerce Costero Forest,-40.1726,-73.4439,Chile,accessible data
CL-FJS,Fray Jorge Shrubland,-30.657,-71.665,Chile,no public data
CL-OPP,Omora Park Peatland,-54.9394,-67.6418,Chile,no public data
CL-SDF,Senda Darwin Forest,-41.883,-73.676,Chile,accessible data
CL-SDP,Senda Darwin Peatland,-41.879,-73.666,Chile,accessible data
CLM,Chi-Lan Mountain Research Site,24.58333,121.4,Taiwan,no public data
CM2,"Dongtan Monitoring Station of Global Carbon Flux, Chongming, Shanghai No.2",31.5169,121.9717,China,no public data
CN-Aan,Ansai,36.858333,109.323056,China,no public data
CN-Anh,CN-Anh,33,117,China,no public data
CN-Aro,Arou,38.04734,100.46432,China,accessible data
CN-Ash,Ailaoshan,24.53806,101.02917,China,accessible data
CN-Bao,Baotianman,33.333333,111.783333,China,no public data
CN-BeO,Beijing Olympic Forest Park,40.02621,116.39143,China,accessible data
CN-Bed,CN-Bed,39.5306,116.252,China,no public data
CN-CM1,"Dongtan Monitoring Station of Global Carbon Flux, Chongming, Shanghai No.1",31.5847,121.9035,China,no public data
CN-CM3,"Dongtan Monitoring Station of Global Carbon Flux, Chongming, Shanghai No.3",31.5167,121.9607,China,no public data
CN-Cha,Changsha(Paddy Rice),42.4025,128.0958,China,accessible data
CN-Cng,Changling,44.5934,123.5092,China,accessible data
CN-DaW,Dangxiong wetland,30.4691,91.0624,China,accessible data
CN-Dam,Daman (Paddy Rice),41.643944,110.328389,China,no public data
CN-Dan,Dangxiong,30.4978,91.0664,China,accessible data
CN-Dax,Daxinganling,50.833333,121.508333,China,no public data
CN-Din,Dinghushan,23.1733,112.5361,China,accessible data
CN-Do1,Dongtan 1 (CM1),31.516667,121.960717,China,no public data
CN-Do2,Dongtan 2 (CM2),31.58465,121.90345,China,no public data
CN-Do3,Dongtan 3 (CM3),31.5167,121.9607,China,no public data
CN-Du1,CN-Du1,42.013591,116.30127,China,no public data
CN-Du2,Duolun_grassland (D01),42.0467,116.2836,China,accessible data
CN-Du3,Duolun Degraded Meadow,42.0551,116.2809,China,accessible data
CN-Dwu,,45.56,117.000278,China,no public data
CN-Dzo,Danzhou,19.546,109.475,China,accessible data
CN-GuT,Guoluo Tuihua,34.35481,100.4872,China,accessible data
CN-HBG,Haibei Potentilla fruticisa bosk Site,37.482078,101.20039,China,no public data
CN-Ha2,Haibei Shrubland,37.6086,101.3269,China,accessible data
CN-HaM,Qinghai Flux Research Site,37.607433,101.332,China,accessible data
CN-HaW,Haibei Wetland,37.607655,101.32899,China,accessible data
CN-Hab,,37.607432,101.332,China,no public data
CN-Hai1,Haibei Shrubland,37.6652,101.331167,China,no public data
CN-Hai2,Haibei Meadow,37.612767,101.3128,China,no public data
CN-Hai3,Haibei marsh grass,37.608417,101.327333,China,no public data
CN-Hgu,Hongyuan,32.8453,102.59,China,no public data
CN-Hny,CN-Hny,29.31,112.51,China,no public data
CN-Htg,Huitong,26.789957,109.590131,China,no public data
CN-Hug,Hulunber Grassland,49.316667,119.916667,China,no public data
CN-Huz,Huzhong Boreal Forest,51.781111,123.017778,China,no public data
CN-In1,Inner Mongolia dune,42.929708,120.70735,China,accessible data
CN-In2,Inner Mongolia grassland,42.933964,120.710964,China,accessible data
CN-In3,Inner Mongolia soybean,42.925572,120.699039,China,accessible data
CN-In4,Inner Mongolia maize,42.944133,120.726622,China,accessible data
